Comment,Designator,Footprint,Manufacturer,Manufacturer Part Number,JLCPCB Part #,Assembly Type
100nF 50V X7R 10%,"C1,C3,C101,C103",0805,FH,0805B104K500NT,C38141,SMT
220pF 50V C0G 5%,"C2,C102",0805,FH,0805CG221J500NT,C1805,SMT
100 ohm 1%,"R1,R2,R3,R4,R101,R102,R103,R104",0805,UNI-ROYAL,0805W8F1000T5E,C17408,SMT
100kohm 1%,"R5,R6,R7,R8,R9,R10,R105,R106,R107,R108,R109,R110",0805,UNI-ROYAL,0805W8F1003T5E,C149504,SMT
1kohm 1%,"R11,R111",0805,UNI-ROYAL,0805W8F1001T5E,C17513,SMT
5.1kohm 1%,"R12,R112",0805,UNI-ROYAL,0805W8F5101T5E,C27834,SMT
Reset switch,"RSW1,RSW101",SMD 4.7x4.5mm,Panasonic,EVQPUC02K,C79174,SMT
8-channel analog mux,"U2,U102",SOIC-16,Nexperia,"74HC4051D,653",C9386,SMT
Rail-to-rail op amp,"U3,U103",SOIC-8,Texas Instruments,OPA350UA,C2862236,SMT
3.5mm four-contact jack,"J1,J101",PJ-320A through-hole,SOFNG,PJ-320A,C22355837,Wave soldering
